X,Y,systemnr,stednr,loknr,sbext,frednr,stednavn,stednavnsbetydning,anlnr,anlaegstype,anlaegsbetydning,dateringskode,datering,fra_aar,til_aar,kommunenavn,kommunenr,sevaerdighedsklasse,url,x,y
9.42391669205181,55.481801328348602,73240,190107,9,,,Westerby 760,Beretningsnavn,2,7040,Dyreben,AXXX,Stenalder,-70000,-9001,Kolding,621,,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/73240/               ,9.42391669205181,55.4818013283486
9.427585820245181,55.4874855345453,73241,190107,10,,,Godthåb,Uspecificeret,1,7040,Dyreben,AXXX,Stenalder,-70000,-9001,Kolding,621,,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/73241/               ,9.42758582024518,55.4874855345453
9.25749455940749,55.014621694038098,118777,220201,120,,,Bjolderup,"Bebyggelse, havne og industrianlæg",2,7040,Dyreben,AXXX,Stenalder,-250000,-9001,Aabenraa,580,,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/118777/              ,9.25749455940749,55.0146216940381
9.41728326583703,55.482956300175097,122842,190107,28,,,Josiassens grusgrav,"Ejendom, gård, hus",2,7040,Dyreben,AXXX,Stenalder,-70000,-9001,Kolding,621,,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/122842/              ,9.41728326583703,55.4829563001751
9.43904929658124,55.4823321139393,122843,190107,29,,,Westerby 839,Beretningsnavn,2,7040,Dyreben,AXXX,Stenalder,-70000,-9001,Kolding,621,,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/122843/              ,9.43904929658124,55.4823321139393
9.446746011366139,55.481522534065803,122844,190107,30,,,Seestgårdens grusgrav,"Ejendom, gård, hus",2,7040,Dyreben,AXXX,Stenalder,-70000,-9001,Kolding,621,,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/122844/              ,9.44674601136614,55.4815225340658
9.530134403957449,55.493464696221601,152269,401514,30,,,Kolding fjord,Farvandsområde,1,7040,Dyreben,AXXX,Stenalder,-70000,-9001,,,,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/152269/              ,9.53013440395745,55.4934646962216
9.345272675783731,56.181859138912301,202876,130302,112,,,Bølling Sø Vest IV,Beretningsnavn,2,13433,Fiskeplads,AXXX,Stenalder,-8700,-8300,Ikast-Brande,756,,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/202876/              ,9.34527267578373,56.1818591389123
9.356624371857841,56.185600486826601,32428,130302,52,,,Moselund,"Landskab, herunder vådområde",1,3000,"Bosættelse, uspec undergruppe",AXXX,Stenalder,-9000,-7801,Ikast-Brande,756,,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/32428/               ,9.35662437185784,56.1856004868266
9.33190245896373,56.192228103729398,125196,130302,70,,,Grøndalsgård,"Ejendom, gård, hus",1,3000,"Bosættelse, uspec undergruppe",AXXX,Stenalder,-9000,-7801,Ikast-Brande,756,,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/125196/              ,9.33190245896373,56.1922281037294
